100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.747273		0.192323		0.070118
0.749697		0.192323		0.071711
0.752121		0.192323		0.073336
0.754545		0.192323		0.074992
0.756970		0.192323		0.076681
0.759394		0.192323		0.078403
0.761818		0.192323		0.080158
0.764242		0.192323		0.081947
0.766667		0.192323		0.083770
0.769091		0.192323		0.085629
0.771515		0.192323		0.087524
0.773939		0.192323		0.089455
0.776364		0.192323		0.091422
0.778788		0.192323		0.093428
0.781212		0.192323		0.095471
0.783636		0.192323		0.097553
0.786061		0.192323		0.099675
0.788485		0.192323		0.101837
0.790909		0.192323		0.104040
0.793333		0.192323		0.106284
0.795758		0.192323		0.108570
0.798182		0.192323		0.110898
0.800606		0.192323		0.113271
0.803030		0.192323		0.115687
0.805455		0.192323		0.118148
0.807879		0.192323		0.120655
0.810303		0.192323		0.123208
0.812727		0.192323		0.125808
0.815152		0.192323		0.128456
0.817576		0.192323		0.131153
0.820000		0.192323		0.133899
0.580000		0.219798		0.012050
0.582424		0.219798		0.012408
0.584848		0.219798		0.012774
0.587273		0.219798		0.013150
0.589697		0.219798		0.013535
0.592121		0.219798		0.013930
0.594545		0.219798		0.014334
0.596970		0.219798		0.014748
0.599394		0.219798		0.015172
0.601818		0.219798		0.015606
0.604242		0.219798		0.016051
0.606667		0.219798		0.016506
0.609091		0.219798		0.016972
0.611515		0.219798		0.017449
0.613939		0.219798		0.017937
0.616364		0.219798		0.018437
0.618788		0.219798		0.018948
0.621212		0.219798		0.019471
0.623636		0.219798		0.020006
0.626061		0.219798		0.020554
0.628485		0.219798		0.021114
0.630909		0.219798		0.021687
0.633333		0.219798		0.022273
0.635758		0.219798		0.022873
0.638182		0.219798		0.023486
0.640606		0.219798		0.024113
0.643030		0.219798		0.024753
0.645455		0.219798		0.025409
0.647879		0.219798		0.026078
0.650303		0.219798		0.026763
0.652727		0.219798		0.027463
0.655152		0.219798		0.028178
0.657576		0.219798		0.028910
0.660000		0.219798		0.029657
0.662424		0.219798		0.030420
0.664848		0.219798		0.031200
0.667273		0.219798		0.031997
0.669697		0.219798		0.032811
0.672121		0.219798		0.033643
0.674545		0.219798		0.034493
0.676970		0.219798		0.035361
0.679394		0.219798		0.036247
0.681818		0.219798		0.037152
0.684242		0.219798		0.038077
0.686667		0.219798		0.039021
0.689091		0.219798		0.039985
0.691515		0.219798		0.040969
0.693939		0.219798		0.041974
0.696364		0.219798		0.043000
0.698788		0.219798		0.044047
0.701212		0.219798		0.045116
0.703636		0.219798		0.046208
0.706061		0.219798		0.047321
0.708485		0.219798		0.048458
0.710909		0.219798		0.049618
0.713333		0.219798		0.050802
0.715758		0.219798		0.052010
0.718182		0.219798		0.053243
0.720606		0.219798		0.054501
0.723030		0.219798		0.055784
0.725455		0.219798		0.057093
0.727879		0.219798		0.058429
0.730303		0.219798		0.059791
0.732727		0.219798		0.061181
0.735152		0.219798		0.062599
0.737576		0.219798		0.064044
0.740000		0.219798		0.065519
0.742424		0.219798		0.067023
0.744848		0.219798		0.068556
0.747273		0.219798		0.070120
0.749697		0.219798		0.071715
0.752121		0.219798		0.073341
0.754545		0.219798		0.074999
0.756970		0.219798		0.076689
0.759394		0.219798		0.078412
0.761818		0.219798		0.080169
0.764242		0.219798		0.081960
0.766667		0.219798		0.083785
0.769091		0.219798		0.085645
0.771515		0.219798		0.087542
0.773939		0.219798		0.089474
0.776364		0.219798		0.091444
0.778788		0.219798		0.093451
0.781212		0.219798		0.095497
0.783636		0.219798		0.097581
0.786061		0.219798		0.099705
0.788485		0.219798		0.101869
0.790909		0.219798		0.104074
0.793333		0.219798		0.106320
0.795758		0.219798		0.108609
0.798182		0.219798		0.110940
0.800606		0.219798		0.113315
0.803030		0.219798		0.115734
0.805455		0.219798		0.118198
0.807879		0.219798		0.120707
0.810303		0.219798		0.123263
0.812727		0.219798		0.125867
0.815152		0.219798		0.128517
0.817576		0.219798		0.131217
0.820000		0.219798		0.133966
0.580000		0.247273		0.012033
0.582424		0.247273		0.012390
0.584848		0.247273		0.012757
0.587273		0.247273		0.013133
0.589697		0.247273		0.013517
0.592121		0.247273		0.013912
0.594545		0.247273		0.014316
0.596970		0.247273		0.014729
0.599394		0.247273		0.015153
0.601818		0.247273		0.015587
0.604242		0.247273		0.016031
0.606667		0.247273		0.016486
0.609091		0.247273		0.016952
0.611515		0.247273		0.017429
0.613939		0.247273		0.017917
0.616364		0.247273		0.018416
0.618788		0.247273		0.018927
