100
100
T [fm^-1]		muB [fm^-1]		betapi_dfce [fm^-4]
0.657576		0.164848		0.068431
0.660000		0.164848		0.070047
0.662424		0.164848		0.071699
0.664848		0.164848		0.073388
0.667273		0.164848		0.075114
0.669697		0.164848		0.076879
0.672121		0.164848		0.078683
0.674545		0.164848		0.080528
0.676970		0.164848		0.082413
0.679394		0.164848		0.084340
0.681818		0.164848		0.086310
0.684242		0.164848		0.088323
0.686667		0.164848		0.090381
0.689091		0.164848		0.092484
0.691515		0.164848		0.094634
0.693939		0.164848		0.096831
0.696364		0.164848		0.099077
0.698788		0.164848		0.101372
0.701212		0.164848		0.103717
0.703636		0.164848		0.106114
0.706061		0.164848		0.108563
0.708485		0.164848		0.111066
0.710909		0.164848		0.113624
0.713333		0.164848		0.116237
0.715758		0.164848		0.118907
0.718182		0.164848		0.121636
0.720606		0.164848		0.124424
0.723030		0.164848		0.127272
0.725455		0.164848		0.130182
0.727879		0.164848		0.133155
0.730303		0.164848		0.136193
0.732727		0.164848		0.139296
0.735152		0.164848		0.142466
0.737576		0.164848		0.145704
0.740000		0.164848		0.149012
0.742424		0.164848		0.152391
0.744848		0.164848		0.155842
0.747273		0.164848		0.159368
0.749697		0.164848		0.162968
0.752121		0.164848		0.166646
0.754545		0.164848		0.170401
0.756970		0.164848		0.174237
0.759394		0.164848		0.178154
0.761818		0.164848		0.182154
0.764242		0.164848		0.186239
0.766667		0.164848		0.190410
0.769091		0.164848		0.194669
0.771515		0.164848		0.199018
0.773939		0.164848		0.203458
0.776364		0.164848		0.207991
0.778788		0.164848		0.212620
0.781212		0.164848		0.217345
0.783636		0.164848		0.222169
0.786061		0.164848		0.227093
0.788485		0.164848		0.232120
0.790909		0.164848		0.237251
0.793333		0.164848		0.242489
0.795758		0.164848		0.247834
0.798182		0.164848		0.253290
0.800606		0.164848		0.258859
0.803030		0.164848		0.264542
0.805455		0.164848		0.270342
0.807879		0.164848		0.276261
0.810303		0.164848		0.282300
0.812727		0.164848		0.288463
0.815152		0.164848		0.294751
0.817576		0.164848		0.301168
0.820000		0.164848		0.307714
0.580000		0.192323		0.031884
0.582424		0.192323		0.032674
0.584848		0.192323		0.033482
0.587273		0.192323		0.034309
0.589697		0.192323		0.035155
0.592121		0.192323		0.036019
0.594545		0.192323		0.036904
0.596970		0.192323		0.037809
0.599394		0.192323		0.038735
0.601818		0.192323		0.039681
0.604242		0.192323		0.040649
0.606667		0.192323		0.041640
0.609091		0.192323		0.042652
0.611515		0.192323		0.043688
0.613939		0.192323		0.044747
0.616364		0.192323		0.045831
0.618788		0.192323		0.046939
0.621212		0.192323		0.048072
0.623636		0.192323		0.049230
0.626061		0.192323		0.050415
0.628485		0.192323		0.051627
0.630909		0.192323		0.052866
0.633333		0.192323		0.054133
0.635758		0.192323		0.055428
0.638182		0.192323		0.056753
0.640606		0.192323		0.058108
0.643030		0.192323		0.059493
0.645455		0.192323		0.060909
0.647879		0.192323		0.062357
0.650303		0.192323		0.063838
0.652727		0.192323		0.065352
0.655152		0.192323		0.066899
0.657576		0.192323		0.068482
0.660000		0.192323		0.070099
0.662424		0.192323		0.071753
0.664848		0.192323		0.073444
0.667273		0.192323		0.075172
0.669697		0.192323		0.076940
0.672121		0.192323		0.078746
0.674545		0.192323		0.080592
0.676970		0.192323		0.082480
0.679394		0.192323		0.084409
0.681818		0.192323		0.086382
0.684242		0.192323		0.088398
0.686667		0.192323		0.090458
0.689091		0.192323		0.092564
0.691515		0.192323		0.094717
0.693939		0.192323		0.096917
0.696364		0.192323		0.099165
0.698788		0.192323		0.101463
0.701212		0.192323		0.103811
0.703636		0.192323		0.106211
0.706061		0.192323		0.108664
0.708485		0.192323		0.111170
0.710909		0.192323		0.113731
0.713333		0.192323		0.116348
0.715758		0.192323		0.119022
0.718182		0.192323		0.121754
0.720606		0.192323		0.124546
0.723030		0.192323		0.127398
0.725455		0.192323		0.130312
0.727879		0.192323		0.133290
0.730303		0.192323		0.136331
0.732727		0.192323		0.139439
0.735152		0.192323		0.142613
0.737576		0.192323		0.145856
0.740000		0.192323		0.149169
0.742424		0.192323		0.152552
0.744848		0.192323		0.156009
0.747273		0.192323		0.159539
0.749697		0.192323		0.163145
0.752121		0.192323		0.166827
0.754545		0.192323		0.170589
0.756970		0.192323		0.174430
0.759394		0.192323		0.178353
0.761818		0.192323		0.182359
0.764242		0.192323		0.186449
0.766667		0.192323		0.190627
0.769091		0.192323		0.194892
0.771515		0.192323		0.199247
0.773939		0.192323		0.203694
0.776364		0.192323		0.208234
0.778788		0.192323		0.212870
0.781212		0.192323		0.217602
0.783636		0.192323		0.222433
0.786061		0.192323		0.227365
0.788485		0.192323		0.232399
0.790909		0.192323		0.237538
0.793333		0.192323		0.242784
0.795758		0.192323		0.248138
0.798182		0.192323		0.253602
0.800606		0.192323		0.259179
0.803030		0.192323		0.264871
0.805455		0.192323		0.270680
0.807879		0.192323		0.276607
0.810303		0.192323		0.282656
0.812727		0.192323		0.288829
0.815152		0.192323		0.295127
0.817576		0.192323		0.301553
