80
180
L [fm^-1]		aL		c1_vah1 [...]
1.044304		0.270391		-0.068827
1.052532		0.270391		-0.060500
1.060759		0.270391		-0.053092
1.068987		0.270391		-0.046502
1.077215		0.270391		-0.040641
1.085443		0.270391		-0.035428
1.093671		0.270391		-0.030793
1.101899		0.270391		-0.026673
1.110127		0.270391		-0.023012
1.118354		0.270391		-0.019760
1.126582		0.270391		-0.016873
1.134810		0.270391		-0.014311
1.143038		0.270391		-0.012039
1.151266		0.270391		-0.010026
1.159494		0.270391		-0.008243
1.167722		0.270391		-0.006666
1.175949		0.270391		-0.005273
1.184177		0.270391		-0.004044
1.192405		0.270391		-0.002960
1.200633		0.270391		-0.002007
1.208861		0.270391		-0.001170
1.217089		0.270391		-0.000437
1.225316		0.270391		0.000204
1.233544		0.270391		0.000762
1.241772		0.270391		0.001248
1.250000		0.270391		0.001667
0.600000		0.280447		-44.155533
0.608228		0.280447		-39.096082
0.616456		0.280447		-34.616578
0.624684		0.280447		-30.650646
0.632911		0.280447		-27.139485
0.641139		0.280447		-24.031018
0.649367		0.280447		-21.279117
0.657595		0.280447		-18.842933
0.665823		0.280447		-16.686286
0.674051		0.280447		-14.777136
0.682278		0.280447		-13.087104
0.690506		0.280447		-11.591060
0.698734		0.280447		-10.266744
0.706962		0.280447		-9.094445
0.715190		0.280447		-8.056706
0.723418		0.280447		-7.138069
0.731646		0.280447		-6.324844
0.739873		0.280447		-5.604912
0.748101		0.280447		-4.967540
0.756329		0.280447		-4.403231
0.764557		0.280447		-3.903573
0.772785		0.280447		-3.461125
0.781013		0.280447		-3.069299
0.789241		0.280447		-2.722265
0.797468		0.280447		-2.414867
0.805696		0.280447		-2.142541
0.813924		0.280447		-1.901250
0.822152		0.280447		-1.687423
0.830380		0.280447		-1.497902
0.838608		0.280447		-1.329894
0.846835		0.280447		-1.180927
0.855063		0.280447		-1.048816
0.863291		0.280447		-0.931629
0.871519		0.280447		-0.827657
0.879747		0.280447		-0.735389
0.887975		0.280447		-0.653487
0.896203		0.280447		-0.580769
0.904430		0.280447		-0.516189
0.912658		0.280447		-0.458823
0.920886		0.280447		-0.407851
0.929114		0.280447		-0.362549
0.937342		0.280447		-0.322276
0.945570		0.280447		-0.286465
0.953797		0.280447		-0.254614
0.962025		0.280447		-0.226278
0.970253		0.280447		-0.201062
0.978481		0.280447		-0.178618
0.986709		0.280447		-0.158637
0.994937		0.280447		-0.140845
1.003165		0.280447		-0.124999
1.011392		0.280447		-0.110883
1.019620		0.280447		-0.098306
1.027848		0.280447		-0.087099
1.036076		0.280447		-0.077112
1.044304		0.280447		-0.068209
1.052532		0.280447		-0.060274
1.060759		0.280447		-0.053200
1.068987		0.280447		-0.046894
1.077215		0.280447		-0.041273
1.085443		0.280447		-0.036261
1.093671		0.280447		-0.031794
1.101899		0.280447		-0.027813
1.110127		0.280447		-0.024265
1.118354		0.280447		-0.021104
1.126582		0.280447		-0.018289
1.134810		0.280447		-0.015782
1.143038		0.280447		-0.013550
1.151266		0.280447		-0.011565
1.159494		0.280447		-0.009800
1.167722		0.280447		-0.008232
1.175949		0.280447		-0.006839
1.184177		0.280447		-0.005603
1.192405		0.280447		-0.004508
1.200633		0.280447		-0.003538
1.208861		0.280447		-0.002681
1.217089		0.280447		-0.001923
1.225316		0.280447		-0.001256
1.233544		0.280447		-0.000668
1.241772		0.280447		-0.000153
1.250000		0.280447		0.000299
0.600000		0.290503		-40.802442
0.608228		0.290503		-36.132097
0.616456		0.290503		-31.997241
0.624684		0.290503		-28.336487
0.632911		0.290503		-25.095480
0.641139		0.290503		-22.226097
0.649367		0.290503		-19.685728
0.657595		0.290503		-17.436651
0.665823		0.290503		-15.445464
0.674051		0.290503		-13.682593
0.682278		0.290503		-12.121854
0.690506		0.290503		-10.740057
0.698734		0.290503		-9.516672
0.706962		0.290503		-8.433517
0.715190		0.290503		-7.474494
0.723418		0.290503		-6.625348
0.731646		0.290503		-5.873456
0.739873		0.290503		-5.207644
0.748101		0.290503		-4.618019
0.756329		0.290503		-4.095822
0.764557		0.290503		-3.633301
0.772785		0.290503		-3.223593
0.781013		0.290503		-2.860627
0.789241		0.290503		-2.539028
0.797468		0.290503		-2.254040
0.805696		0.290503		-2.001455
0.813924		0.290503		-1.777552
0.822152		0.290503		-1.579036
0.830380		0.290503		-1.402995
0.838608		0.290503		-1.246851
0.846835		0.290503		-1.108325
0.855063		0.290503		-0.985400
0.863291		0.290503		-0.876293
0.871519		0.290503		-0.779426
0.879747		0.290503		-0.693404
0.887975		0.290503		-0.616991
0.896203		0.290503		-0.549096
0.904430		0.290503		-0.488752
0.912658		0.290503		-0.435104
0.920886		0.290503		-0.387395
0.929114		0.290503		-0.344955
0.937342		0.290503		-0.307191
0.945570		0.290503		-0.273578
0.953797		0.290503		-0.243651
0.962025		0.290503		-0.216998
0.970253		0.290503		-0.193254
0.978481		0.290503		-0.172096
0.986709		0.290503		-0.153236
0.994937		0.290503		-0.136421
1.003165		0.290503		-0.121425
1.011392		0.290503		-0.108048
1.019620		0.290503		-0.096112
1.027848		0.290503		-0.085460
1.036076		0.290503		-0.075952
1.044304		0.290503		-0.067462
1.052532		0.290503		-0.059882
1.060759		0.290503		-0.053112
1.068987		0.290503		-0.047065
1.077215		0.290503		-0.041663
1.085443		0.290503		-0.036837
1.093671		0.290503		-0.032526
1.101899		0.290503		-0.028674
1.110127		0.290503		-0.025233
1.118354		0.290503		-0.022159
1.126582		0.290503		-0.019413
1.134810		0.290503		-0.016961
1.143038		0.290503		-0.014771
1.151266		0.290503		-0.012816
1.159494		0.290503		-0.011071
1.167722		0.290503		-0.009515
1.175949		0.290503		-0.008127
1.184177		0.290503		-0.006890
1.192405		0.290503		-0.005789
1.200633		0.290503		-0.004808
1.208861		0.290503		-0.003936
1.217089		0.290503		-0.003162
1.225316		0.290503		-0.002474
1.233544		0.290503		-0.001864
1.241772		0.290503		-0.001325
1.250000		0.290503		-0.000848
0.600000		0.300559		-37.845131
0.608228		0.300559		-33.517806
0.616456		0.300559		-29.686766
0.624684		0.300559		-26.295030
0.632911		0.300559		-23.292166
0.641139		0.300559		-20.633536
0.649367		0.300559		-18.279637
0.657595		0.300559		-16.195501
0.665823		0.300559		-14.350177
0.674051		0.300559		-12.716268
0.682278		0.300559		-11.269519
0.690506		0.300559		-9.988456
0.698734		0.300559		-8.854069
0.706962		0.300559		-7.849526
0.715190		0.300559		-6.959925
0.723418		0.300559		-6.172071
0.731646		0.300559		-5.474282
0.739873		0.300559		-4.856218
0.748101		0.300559		-4.308722
0.756329		0.300559		-3.823690
0.764557		0.300559		-3.393948
0.772785		0.300559		-3.013145
0.781013		0.300559		-2.675662
0.789241		0.300559		-2.376526
0.797468		0.300559		-2.111335
0.805696		0.300559		-1.876195
0.813924		0.300559		-1.667660
0.822152		0.300559		-1.482681
0.830380		0.300559		-1.318561
0.838608		0.300559		-1.172913
0.846835		0.300559		-1.043627
0.855063		0.300559		-0.928835
0.863291		0.300559		-0.826884
0.871519		0.300559		-0.736313
0.879747		0.300559		-0.655828
0.887975		0.300559		-0.584284
0.896203		0.300559		-0.520668
0.904430		0.300559		-0.464085
0.912658		0.300559		-0.413741
0.920886		0.300559		-0.368933
0.929114		0.300559		-0.329039
0.937342		0.300559		-0.293509
0.945570		0.300559		-0.261855
0.953797		0.300559		-0.233644
0.962025		0.300559		-0.208494
0.970253		0.300559		-0.186066
0.978481		0.300559		-0.166057
0.986709		0.300559		-0.148202
0.994937		0.300559		-0.132263
1.003165		0.300559		-0.118031
1.011392		0.300559		-0.105319
1.019620		0.300559		-0.093961
1.027848		0.300559		-0.083810
1.036076		0.300559		-0.074735
1.044304		0.300559		-0.066621
1.052532		0.300559		-0.059363
1.060759		0.300559		-0.052870
1.068987		0.300559		-0.047060
1.077215		0.300559		-0.041861
1.085443		0.300559		-0.037207
1.093671		0.300559		-0.033040
1.101899		0.300559		-0.029310
1.110127		0.300559		-0.025969
1.118354		0.300559		-0.022978
1.126582		0.300559		-0.020299
1.134810		0.300559		-0.017901
1.143038		0.300559		-0.015753
1.151266		0.300559		-0.013830
1.159494		0.300559		-0.012108
1.167722		0.300559		-0.010567
